model_name,val_pr_auc,test_pr_auc,val_test_gap,test_recall,test_f2,threshold,tp,fp,tn,fn,n_features
Baseline: 신용등급점수 유지,0.11357618779308912,0.1557643146069189,37.14522175254489,0.7894736842105263,0.23547880690737832,0.08029009450190562,120,1820,8049,32,26
One-Hot Encoding (3그룹),0.10376464108535538,0.14325617643356087,38.05875964599568,0.7828947368421053,0.22911051212938005,0.08697884409657196,119,1870,7999,33,28
Binary Encoding,0.10376029109843142,0.15190061814329417,46.39571317238768,0.7105263157894737,0.21634615384615385,0.13456797191289135,108,1780,8089,44,26
신용등급점수 완전 제거,0.09357777735888825,0.13902274207297793,48.56384282328031,0.7105263157894737,0.209140201394268,0.12063894169558485,108,1866,8003,44,25
