model_name,val_pr_auc,test_pr_auc,val_test_gap,test_recall,test_f2,threshold,tp,fp,tn,fn,n_features,removed_features
Baseline,0.11357618779308912,0.1557643146069189,37.14522175254489,0.7894736842105263,0.23547880690737832,0.08029009450190562,120,1820,8049,32,26,
VIF > 10 제거,0.11543517855237685,0.16311015142653942,41.30021148841627,0.7828947368421053,0.23351648351648352,0.08113646057050633,119,1821,8048,33,24,"매출총이익률, 이자부담률"
VIF > 5 제거,0.10245385603899707,0.13987286093002133,36.52278824603873,0.75,0.22335423197492163,0.08045246038806426,114,1830,8039,38,22,
고상관 쌍 제거,0.11052403171765629,0.14841087427299662,34.279280231222224,0.7631578947368421,0.22568093385214008,0.07921994698679335,116,1846,8023,36,24,
