model_name,val_pr_auc,test_pr_auc,val_test_gap,test_recall,test_f2,threshold,tp,fp,tn,fn
Baseline: SMOTE (0.2),0.11357618779308912,0.1557643146069189,37.14522175254489,0.7894736842105263,0.23547880690737832,0.08029009450190562,120,1820,8049,32
SMOTE (0.5),0.10447675819900853,0.14502399229774648,38.80981262981295,0.7763157894736842,0.23515344758868076,0.14154408469801688,118,1783,8086,34
BorderlineSMOTE,0.1211083116595426,0.14340680794762284,18.412028028898096,0.7894736842105263,0.2375296912114014,0.045716302488105175,120,1798,8071,32
ADASYN,0.11267282082971565,0.15038986221083803,33.474835460208084,0.75,0.22637013502779985,0.08193966703388028,114,1796,8073,38
SMOTE + ENN,0.10259954482028379,0.14157969205091558,37.992514780558245,0.7697368421052632,0.23022432113341204,0.24331378678034388,117,1816,8053,35
No SMOTE (Class Weight Only),0.10215795951978052,0.13353390735176163,30.713170054953853,0.7894736842105263,0.23391812865497075,0.4944170191045014,120,1837,8032,32
