Feature,Coefficient,Abs_Coef
이해관계자_불신지수,1.7285664589573104,1.7285664589573104
OCF_대_유동부채,-0.30113365034829437,0.30113365034829437
현금창출능력,0.1779740156227287,0.1779740156227287
운전자본_대_자산,-0.12766892639478739,0.12766892639478739
신용등급점수,0.12284556061388234,0.12284556061388234
매출총이익률,-0.12108236515625402,0.12108236515625402
판관비효율성,-0.07200172018684503,0.07200172018684503
매출집중도,-0.04912320451906233,0.04912320451906233
부채레버리지,-0.022849679307494365,0.022849679307494365
현금흐름품질,0.02187784106830687,0.02187784106830687
순부채비율,0.019965390305290372,0.019965390305290372
공공정보리스크,0.012990964826222461,0.012990964826222461
매출채권_이상지표,0.010771749869490215,0.010771749869490215
재고보유일수,-0.009696741420104633,0.009696741420104633
부채상환년수,-0.00725932519941853,0.00725932519941853
유동성압박지수,-0.006194558524464779,0.006194558524464779
운전자본,0.0031190996961524644,0.0031190996961524644
총발생액,0.0015690745631398695,0.0015690745631398695
즉각지급능력,0.0014452145406305412,0.0014452145406305412
긴급유동성,-0.00018935852612087618,0.00018935852612087618
연체심각도,0.00011640021389137008,0.00011640021389137008
현금소진일수,6.713479924334383e-06,6.713479924334383e-06
운전자본비율,-3.1838697155885766e-06,3.1838697155885766e-06
재고회전율,7.243109271900764e-07,7.243109271900764e-07
이자부담률,7.159942394464656e-07,7.159942394464656e-07
매출채권회전율,4.1972704874415074e-07,4.1972704874415074e-07
이자보상배율,-3.700955960801496e-07,3.700955960801496e-07
