Experiment,CV_PR_AUC,Val_PR_AUC,Gap,F2_Score,Recall,Precision,NonZero_Coef
Baseline_L1,0.16203230616826175,0.15723261244053843,0.00479969372772332,0.20442359249329758,0.8026315789473685,0.05134680134680135,27
Improved_ElasticNet,0.16107485789435932,0.15704277070957495,0.004032087184784372,0.09779632285826052,0.9868421052631579,0.02124344993626965,7
Improved_NoRegularization,0.15660256661520644,0.14941441816670298,0.007188148448503462,0.1019986216402481,0.9736842105263158,0.022265683767112982,27
Improved_L2_StdScaler,0.1568115856644068,0.1492095130424316,0.007602072621975209,0.10187224669603524,0.9736842105263158,0.022235576923076924,27
Improved_NoLogTransform,0.15399534282993577,0.1258990730785953,0.02809626975134047,0.09729161188535367,0.9736842105263158,0.021148899685624466,27
Improved_L2_NoDistrust,0.0988864336785619,0.12406574351253992,-0.025179309833978022,0.10082304526748971,0.9671052631578947,0.021999401376833285,26
Improved_NoReg_NoDistrust,0.10314828589655252,0.08683797795056215,0.016310307945990365,0.09626796782276144,0.9605263157894737,0.020931899641577063,26
Improved_L2,0.08462406291578686,0.08210732594268175,0.002516736973105116,0.07507355179060567,0.9736842105263158,0.016001729916747757,27
