iter	Logloss
0	0.6006739541
1	0.5143007547
2	0.4521940924
3	0.4084162371
4	0.3634755094
5	0.3389378577
6	0.3093442794
7	0.2918951001
8	0.2796057941
9	0.2621276317
10	0.2466843315
11	0.2375896319
12	0.2269978971
13	0.2172472688
14	0.2129790826
15	0.2082784863
16	0.2045870415
17	0.2021441793
18	0.1987027644
19	0.1962201092
20	0.19322603
21	0.1896183968
22	0.1830059381
23	0.1806822932
24	0.1786907003
25	0.1775133246
26	0.1763255908
27	0.1753894572
28	0.1675814026
29	0.1662549069
30	0.1648693834
31	0.1635850526
32	0.1630247276
33	0.162211568
34	0.1594237535
35	0.1588747186
36	0.1547397911
37	0.1538428868
38	0.1508698626
39	0.1496455062
40	0.1490043123
41	0.1471386526
42	0.1457986244
43	0.1452006992
44	0.144619129
45	0.1442152599
46	0.1439152428
47	0.1434598756
48	0.1416899457
49	0.1409163853
50	0.1398954112
51	0.1394607969
52	0.1373011291
53	0.1369017896
54	0.1362703425
55	0.1347273706
56	0.1322712932
57	0.1319131689
58	0.131114597
59	0.1306707656
60	0.1303243507
61	0.1292133178
62	0.128891834
63	0.1274411963
64	0.1268374462
65	0.1265003723
66	0.1261796986
67	0.1248806679
68	0.1239617479
69	0.1237235925
70	0.1229884716
71	0.1227496061
72	0.1221635265
73	0.1217377129
74	0.1214374538
75	0.1195152944
76	0.1193243111
77	0.1186401061
78	0.1175988003
79	0.1173041845
80	0.11711852
81	0.1168511299
82	0.1165207826
83	0.1163022274
84	0.1161220319
85	0.115790341
86	0.1151261352
87	0.1148936922
88	0.1138632235
89	0.1128774799
90	0.1127235429
91	0.1115482819
92	0.1113317719
93	0.1111274478
94	0.110109653
95	0.1096872937
96	0.1094893128
97	0.1092204712
98	0.1089573041
99	0.1087618492
